Gene name,Chromosome/scaffold name,Gene start (bp)
RP5-836J3.1,1,84255963
RP11-417J8.6,1,142620645
RP11-337N6.2,2,178165328
ZNF861P,19,15932606
RP11-337N6.1,2,178171101
RP3-331H24.5,6,72004876
AL035706.1,1,84259560
ACTR3BP3,16,32390392
AC019080.1,2,178209171
ZBED6,1,203765437
RP11-373N24.2,6,28601158
TTLL7-IT1,1,84444801
RP3-422G23.4,6,138699042
RP11-468N14.11,4,69862653
AL392111.1,10,76944716
snoU13,2,178210586
RP11-12A2.3,6,139791301
RN7SKP112,2,7281358
AL121932.1,6,28615974
AC144521.1,3,18486516
RPL39P25,10,77029150
RP4-552O12.1,1,84481548
AC073834.3,2,178467817
RP3-331H24.4,6,72038645
RP11-468D11.1,5,2831135
LINC00533,6,28616063
LINC01158,2,105424030
ATP5F1P6,6,139935575
PFDN6,HSCHR6_MHC_MCF,33427426
RP11-219G10.1,4,189270530
ABO,9,136125788
AC004510.3,19,15937855
RP11-557L19.1,2,7401002
AC012499.1,2,178563157
NARG2P1,4,189308625
RP11-275O4.3,1,227698297
RPSAP2,6,28699794
RP11-813N20.1,4,69870574
ZNF503-AS1,10,77029577
RP11-15H7.2,6,139981065
FKBP8,19,18642561
LINC00472,6,72054047
AL583842.3,1,142653525
RP11-626K17.5,16,32399456
SNRPE,1,203830731
UCA1,19,15939771
RP11-486G15.2,1,84542014
AL583842.1,1,142653718
CTD-2232E5.2,5,88762354
RNA5SP77,1,227748882
RP11-35O7.1,5,2965120
AL583842.2,1,142656062
AL662890.1,6,28743693
LINC01060,4,189321890
HEBP2,6,138724668
RP11-486G15.1,1,84551424
RP4-566D2.1,1,227786125
RP11-3N2.8,7,63567200
SNX18P15,1,142660017
NOL5BP,6,28751410
IYD,6,150690028
AC011998.1,2,178817838
MIR3118-1,1,142667289
RP11-82H13.2,1,84710017
MARCH6,5,10353815
SNX32,11,65601112
AL662890.3,6,28763749
AL592310.1,1,227832981
API5P2,2,178862000
SNX18P16,1,142688379
XXbac-BPG308K3.5,6,28805646
ZNF847P,1,227884593
AC010904.1,2,7464879
ANKRD20A12P,1,142697653
RP5-899B16.1,6,140175987
SNORD99,1,28905261
AC011998.2,2,178882720
XXbac-BPG308K3.6,6,28827402
PABPC1P13,16,32450390
CTD-2029E14.1,5,3178209
SNORA2,1,84743004
RP11-442N24__B.1,1,28969740
OTOL1,3,161214596
RNU6-629P,2,178903629
AC004791.2,19,15962803
AC093616.4,2,88000503
TOP3A,17,18174742
CYCTP,2,178957230
CTB-49A3.4,5,132592184
RP11-376N17.4,1,84810361
SNAP47-AS1,1,227931532
RNA5SP276,8,117034911
COCH,14,31343720
GIMAP1,7,150413645
STS,X,7137497
AC103863.1,8,117148998
RPL13P,6,28829193
RNU11,1,28975112
MIR5008,1,228129291
ZNF251,8,145946298
AF130343.1,8,117299588
RNU6-23P,16,70479196
RP11-536K17.1,8,117414781
C4orf45,4,159814286
SNORD111B,16,70563412
CICP26,1,228162980
CYP4F36P,19,15982477
CTB-3M24.3,5,132723465
SCARNA24,1,29016177
ZNF90P2,6,28856609
SNORD111,16,70571908
RP1-212P9.2,1,29194087
RAD21-AS1,8,117886663
AC011998.4,2,178970364
MIR1289-2,5,132763288
RP11-49C24.1,16,70610204
RP5-899B16.2,6,140177241
AC005195.1,5,132961536
RP11-394B2.6,16,70780960
RP1-212P9.3,1,29196995
RP11-3N2.7,7,63568207
RP11-850F7.7,12,55076757
MIR3610,8,117886967
AC005178.1,5,133056186
RNU5E-9P,2,179007275
HCG14,6,28864307
HSPG2,1,22148738
ZDHHC20P1,HSCHR6_MHC_QBL,29675809
RP3-332B22.1,6,140388572
UOX,1,84831111
ILF2P1,3,65672976
RN7SL228P,8,118030185
AC013460.1,2,7561392
RP11-65L3.1,2,179265561
VAC14-AS1,16,70789001
IRF7,11,612553
RP11-423O2.3,1,142790233
PMEL,12,56347889
MIR3620,1,228284964
MSRB2,10,23384435
Y_RNA,1,29208238
snoU13,5,133186548
RP11-1059L18.1,8,118068057
RP11-626K17.3,16,32465933
MIR30C2,6,72086663
HCG4P11,HSCHR6_MHC_QBL,29688220
CTD-2131I18.1,5,133249368
RP4-604A21.1,1,29308790
AC005336.5,19,16013110
FAM96AP2,1,228302698
NFKBIE,6,44225903
RP11-3N2.5,7,63569003
MIR30A,6,72113254
RNU6-930P,6,28883422
RPL17P17,3,65829565
PAPSS1,4,108511433
KRT18P1,6,28936907
MAGI1-IT1,3,65858490
RP1-288M22.2,6,72160537
CTB-113I20.2,5,133340838
BASP1,5,17065707
RP11-654G14.1,8,118140694
DAQB-335A13.26,HSCHR6_MHC_QBL,29691842
RP11-423O2.2,1,142790583
RP11-520H14.1,1,228322486
Y_RNA,1,29312222
MAGI1-AS1,3,65879491
RP11-13J10.1,2,105469743
AL035467.1,6,72248587
RN7SL826P,8,118176207
RP11-242O24.3,1,29471006
TMEM41B,11,9302201
CTB-113I20.1,5,133417605
RP1-288M22.1,6,72260661
SNORA31,8,118325767
MTMR11,1,149900543
RN7SL471P,6,28945252
AC009948.5,2,179278666
AC018730.4,2,105481865
AC136297.1,11,1295809
RPS10P16,8,118535510
RP5-1139B12.2,1,228458144
KRT19P1,6,72294424
HCG15,6,28953980
RP11-242O24.5,1,29479001
AC005336.4,19,16021392
RP11-424M24.5,16,70835986
WIPF1,2,175424300
RP11-467D18.2,1,29550445
RP5-1139B12.3,1,228462285
RPS26P35,8,119774095
HCG16,6,28954577
CTD-2410N18.4,5,133541305
PKHD1,6,51480098
RP5-1139B12.4,1,228483612
RBP2,3,139171726
RP11-423O2.1,1,142791488
CYP4F9P,19,16090645
OR2AD1P,6,28994457
RNA5SP220,6,140479728
RNU6ATAC25P,16,70886601
MED28,4,17616254
AL354933.1,6,72294792
RNU6-12P,8,119988752
MIR3668,6,140526389
SNORD112,16,70902110
RP11-245P10.6,1,228571815
RNU4-66P,6,72362177
OR2P1P,6,29039601
RP11-278I4.1,8,119994818
AC027281.1,16,70907087
AL645859.1,1,29580054
AL445256.1,6,72936410
AL356137.1,6,140981760
RP11-245P10.8,1,228581991
ASNSP5,1,142799587
RNA5SP138,3,126283408
MIR4465,6,141004951
RP5-1046G13.2,6,73026302
RP3-437I16.1,1,29656132
VDAC1P5,12,55196530
RP11-23E19.1,16,71114769
RP11-278I4.2,8,120075181
STK19,HSCHR6_MHC_QBL,31929344
RP11-390G14.1,3,126343635
SAR1P1,6,29044350
RPS3AP24,6,141082666
RP11-245P10.4,1,228595082
RP11-745I13.1,11,89231916
AP000347.2,22,24000281
AL139151.1,1,29758993
RP11-616L12.1,12,55403530
RP11-23E19.2,16,71147255
RP11-756P10.1,4,189552078
RP11-135M8__A.1,6,73232343
RP11-423O2.5,1,142803224
RP11-810H18.1,1,29814705
XXbac-BCX196D17.5,6,29091987
RP5-915N17.3,1,228636864
AC009948.7,2,179319443
RP11-643G5.6,11,89279805
OR9K1P,12,55509317
CTD-2520I13.1,16,71335486
RNU7-192P,4,189637819
LINC01159,2,105481955
CD209,19,7804879
NUP210P1,3,126379452
MAL2,8,120177273
OR2N1P,6,29105657
RP3-474G15.1,6,73308179
RP11-756P10.3,4,189659506
KCNQ5-IT1,6,73340223
RP11-616L12.4,12,55516452
SEZ6L,22,26565440
RP11-116A1.1,5,88877026
ANKRD20A14P,1,142803532
RPL23AP1,HSCHR6_MHC_QBL,29691910
AC092265.1,1,30117392
AC106736.1,16,71365092
RP11-552J9.9,X,52684257
RP4-656G21.1,1,30181698
RP11-510M2.1,16,71444343
MIR4282,6,73677410
RP11-756P10.4,4,189678833
AC010884.1,2,105552869
RP3-460G2.2,6,141167095
SOX13,1,204042243
MIR4666A,1,228649775
OR2J4P,6,29149287
AC113167.1,5,89196481
RP11-471B18.1,6,141243594
AL645944.1,1,30357749
HIST3H2BA,1,228651804
RP11-510M2.7,16,71454386
MIR3661,5,133561448
KNOP1P4,6,73696036
MICE,HSCHR6_MHC_QBL,29706972
RP11-179G8.1,1,30377712
AC010884.2,2,105609360
RP11-423O2.7,1,142950985
RNA5SP504,X,52694281
OR2H4P,6,29183013
SPATA1,1,84971974
SI,3,164696686
SSXP5,X,52701768
AC104655.2,2,105713510
RP11-63E9.1,6,141768148
BTNL10,1,228696356
AC005020.1,7,99184538
OR52A4,11,5141849
RN7SKP106,6,141807278
PGAM1P10,6,73764820
XXbac-BPG308J9.3,6,29191750
AC113167.2,5,89240727
RAPGEF2,4,160025330
FOLH1B,11,89371683
RP11-782C8.2,1,143118704
VCX,X,7810303
MIR3660,5,89312438
RPS3AP23,6,141956787
RP11-111I12.1,1,30486799
RP11-510M2.4,16,71464165
GS1-259H13.2,7,99195689
KCNQ5-AS1,6,73844526
OR2G1P,6,29197004
ARMC4,10,28064115
LL22NC03-N27C7.1,22,24080865
OR51A1P,11,5191581
RP11-552J9.11,X,52716413
KB-1125A3.11,22,24198614
OR2U1P,6,29230480
RP5-893G23.1,1,30613110
RP11-257K9.3,6,73867240
CTD-2410N18.3,5,133562101
HSPA1L,HSCHR6_MHC_COX,31764773
RP11-4K16.2,8,120227351
RP11-552J9.12,X,52736652
RP3-357I16.1,1,30699370
RN7SL268P,22,24221682
CTD-2410N18.1,5,133603112
RP4-591L5.1,1,30882407
AP000350.5,22,24243619
RP11-756P10.5,4,189697811
RP11-215P8.3,5,133735186
SLC39A5,12,56623833
TTN-AS1,2,179385910
RP11-61G23.1,5,89454156
OR52Z1,11,5198944
GIMAP5,7,150419341
AP000350.6,22,24269087
RP4-591L5.2,1,30888672
RP11-215P8.1,5,133758529
RP11-756P10.2,4,189698833
KHDC1P1,6,73918806
OR2U2P,6,29236239
RNA5SP19,1,228743494
RNA5S1,1,228746015
AC078941.1,2,67350489
AC104655.3,2,105760571
LINC00661,19,16126097
AP000350.7,22,24282185
RP11-430N14.4,9,136125788
GEMIN5,5,154266976
OR2B4P,6,29258488
RNA5S2,1,228748256
FAM129B,9,130267618
RP11-818C3.1,4,189911869
RP11-137J7.3,6,142383854
LINC01019,5,3417266
AC104389.16,11,5226271
MATN1-AS1,1,31191351
AP000350.8,22,24292105
RP11-706F1.1,4,190114254
RNA5S3,1,228750497
RP11-510M2.8,16,71476958
CoTC_ribozyme,11,5245678
AC019205.1,6,73972731
RP11-706F1.2,4,190209831
SNORA32,8,120400588
Y_RNA,9,136177953
SLC22A5,5,131705444
RP11-137J7.2,6,142409370
RP11-782C8.1,1,143119061
PLEKHM1,17,43513266
RP11-775B15.2,8,120432150
FAM184B,4,17630929
KB-1125A3.10,22,24305942
RNA5S4,1,228752738
HCG9P5,HSCHR6_MHC_QBL,29713532
HBBP1,11,5263184
RP11-753B14.1,6,142572984
RP11-398K22.12,6,73972938
DDX6P1,6,29297403
LCN1P2,9,136184629
RP11-215P8.4,5,133764742
RP11-775B15.3,8,120492519
RNA5S5,1,228754979
RP11-510M2.2,16,71496181
AL360007.1,6,142583780
HSP90AA4P,4,190394119
TMEM261,9,7796490
RP11-440G9.1,6,142847592
AC005355.1,5,133772402
RP11-99I9.2,8,120630402
UBDP1,6,29432373
RNA5S6,1,228757194
RP1-67K17.3,6,143069580
IFNGR2,21,34775202
PSMG3,7,1606966
ZNF34,8,145998499
RNU6-456P,5,133835869
RN7SKP153,8,120724070
RP11-589F5.3,5,70070478
RNA5S7,1,228759414
RPSAP41,6,74000126
Y_RNA,HSCHR6_MHC_QBL,29715613
RN7SL396P,8,120874902
AC005355.2,5,133842243
CDH18,5,19473060
RP1-67K17.4,6,143109260
PNPLA4,X,7866288
CDH12P1,5,70156112
SLC51B,15,65337708
HSPA1A,HSCHR6_MHC_COX,31770617
RP11-121L11.3,5,3452930
MAS1LP1,6,29442802
IFITM4P,HSCHR6_MHC_QBL,29715969
MIR4420,1,31212003
KB-1471A8.1,8,120879659
RNA5S8,1,228761656
RP11-439L18.2,6,143267184
Y_RNA,9,136204565
RP11-782C8.4,1,143154493
RPS17P1,6,29457048
AC023115.4,2,67551759
RP11-332H14.1,2,105865861
RP5-1125N11.1,1,31283225
MIR3118-2,1,143163750
RP11-439L18.1,6,143271348
RNA5S9,1,228763895
RP11-244N20.7,9,136205827
RP11-782C8.3,1,143188828
RP11-195E2.4,5,70328995
RN7SL541P,5,133853501
RNA5S10,1,228766137
RNA5SP277,8,120903372
RP11-510M2.6,16,71547766
EIF3EP1,6,74001685
DAAM2,6,39760142
RP11-462G22.1,4,190580759
XXbac-BPG13B8.10,6,29465286
RP1-65J11.1,1,31297075
AC012360.4,2,105940667
SNORA77,15,69617632
RP11-439L18.3,6,143287558
AC005682.7,7,22921512
RP11-760H22.2,8,121064419
CTD-2643I7.1,11,5265784
RP11-121L11.2,5,3496343
SDCBP2P1,6,74032560
AC007422.1,2,67789199
RNA5S11,1,228768378
RNA5SP398,15,69659924
RP11-510M2.5,16,71573737
PAICSP3,6,74037247
RP11-253M7.6,15,69683531
MTATP8P2,2,88124461
RNU6-1311P,5,133970529
RNA5S12,1,228770618
RNU6-1061P,16,71597333
LINC01015,6,29497197
OR5M12P,11,56396408
IL21-AS1,4,123540138
GS1-259H13.7,7,99235865
RNU6-1164P,5,134036862
RP1-45I4.3,6,143360562
CTC-820M8.1,8,121647798
RP11-432I5.1,16,71599692
SNORD24,9,136216251
RNU6-757P,5,134051173
RNA5S13,1,228772843
RP11-782C8.5,1,143211628
RP11-605F14.2,3,126390949
RP11-253M7.1,15,69689243
ARL1,12,101786898
RP1-45I4.2,6,143415171
CTD-2012M11.3,5,3596325
RPL39P33,17,54650401
CTB-2L9.1,5,134140468
RN7SKP91,1,31316670
RP11-713M15.1,8,121773493
HLA-V,HSCHR6_MHC_QBL,29756044
RNA5S14,1,228775084
RP11-332H14.2,2,105950484
RP1-65J11.5,1,31331005
OR51AB1P,11,5312991
OOEP-AS1,6,74079427
SNORD36B,9,136216950
RP11-432I5.2,16,71657611
AC006077.4,5,134198781
OR5AP1P,11,56400640
CTD-2287N17.1,5,4012822
RPL39P3,6,74082831
RP11-195E2.1,5,70370052
RP11-713M15.2,8,121824459
RNA5S15,1,228777315
RP11-432I5.6,16,71688930
Y_RNA,15,69698780
RP1-95L4.2,6,143619907
SNORD103A,1,31408535
RCC2P4,3,126485277
AC012360.6,2,105979495
GPR53P,6,29505481
RP11-253M7.3,15,69726805
AP002517.1,11,56405463
RNU6-208P,16,71699994
RNA5S16,1,228779556
SNORD103B,1,31421964
AC108479.1,2,88268128
RP11-369K17.1,8,121925305
CETN4P,4,123651703
RP11-670E13.2,17,54946308
OR2I1P,6,29520996
SNORA70D,16,71732470
OR2AH1P,11,56436493
CTD-2383I20.1,5,4033826
RPS6P8,6,74100761
LINC00905,19,16142117
SNORD85,1,31441011
AC011626.1,8,122081628
INO80B,2,74682150
RP11-432I5.8,16,71757083
RNA5S17,1,228781787
Y_RNA,3,126921215
RP11-369K17.2,8,122125598
RP11-201O14.1,1,31509581
AC104389.28,11,5326206
SNORD36A,9,136217311
CTB-36O1.7,5,134258993
RP11-305F5.2,3,126940037
RNU6-1147P,2,128074449
RP11-432I5.4,16,71760878
OR2H5P,6,29541686
U3,15,69750281
AC027238.1,8,122198998
RNU6ATAC37P,2,7716972
WBP1LP5,15,102427557
RNU6-1158P,17,54948531
AC068282.3,2,128146706
RNA5SP18,1,228783659
RP11-59K5.1,11,56457941
RP11-253M7.4,15,69750861
CTD-2008N3.1,5,4135795
RPL35AP19,8,122392377
RBP1,3,139236276
RP11-670E13.3,17,54962000
DUSP5P1,1,228744885
RP11-201O14.2,1,31523719
MTND6P4,5,134259813
MIR585,5,168690605
RP11-670E13.5,17,54966241
snoU13,6,74103636
AC140725.7,15,102443357
HSPA1B,HSCHR6_MHC_COX,31782890
IDE,10,94211441
SNORD36C,9,136217702
CNFN,19,42891171
AC019205.2,6,74142707
IPO7,11,9406169
MIR4783,2,128181113
RP11-100N3.2,11,56503792
MIR3614,17,54968631
RASL12,15,65345679
TMEM183AP1,6,29545236
MIR450B,X,133674215
RP1-95L4.3,6,143648412
AC010987.5,2,67792736
AC022909.1,8,122555137
RP11-170N16.1,4,123736926
RNU6-1047P,3,126959811
VCX2,X,8137989
RNU6-975P,6,74173796
RP5-1107A17.3,17,55017293
RNU6-477P,5,168979453
SEPW1P,1,31567834
OR4G2P,15,102467008
MIR450A1,X,133674371
AL603910.1,6,74186781
AC010987.6,2,68023186
AC009505.2,2,106462990
RP11-61G23.2,5,89648854
AC021205.1,4,123748169
SNORA51,1,228788183
CTB-37A13.1,5,169199970
Metazoa_SRP,6,74197315
OR9G3P,11,56507655
HAS2-AS1,8,122651533
MIR450A2,X,133674538
RP5-1107A17.2,17,55029025
RP11-170N16.2,4,123761498
LL09NC01-254D11.1,9,136476920
RP11-88I21.1,3,127002924
AC092580.3,2,7811735
RP11-505P4.6,6,74201748
FTH1P2,1,228823162
Y_RNA,X,102411048
RP11-279F6.1,15,69755365
SNORD32B,6,29550026
TAMM41,3,11831916
RP11-170N16.3,4,123803033
MIR542,X,133675371
FAM138E,15,102495088
RP11-88I21.2,3,127041150
RNU7-153P,8,14176964
AC108479.2,2,88272175
MTND5P11,5,134260338
snoU13,5,70384459
RPL13AP,6,29550285
RP11-505P4.7,6,74233341
AC010976.2,2,128221218
RP4-635G19.1,X,102460938
SNORD78,1,173834760
RP11-1280N14.3,5,70398725
RP11-490K7.1,1,31581035
RP11-74K11.2,12,94561782
RGL2,HSCHR6_MHC_MCF,33429778
KRR1,12,75890684
RP5-1107A17.4,17,55060110
RNA5SP67,1,173890208
AC109357.1,4,123928727
RP1-95L4.4,6,143663383
MTND4P12,5,134262350
OR9G2P,11,56518499
RP4-799G3.1,1,228912059
MIR503HG,X,133677367
RP11-462G22.2,4,190625035
RP11-445O3.3,5,4436963
RNA5SP68,1,173938456
RP11-505P4.5,6,74236467
AC007114.1,17,55080344
RP4-799G3.2,1,228993757
CTB-51E13.1,4,124181104
SUMO2P1,6,29603837
ISCA1P2,1,229177918
RP11-1105G2.4,12,94665926
RC3H1-IT1,1,173978405
SNORD71,16,71792305
RPS27P15,6,74328069
RNF126P1,17,55122839
RNU1-51P,4,190630693
Y_RNA,8,14190064
RP1-20N2.7,6,143707718
RP11-782C8.6,1,143243809
SNX33P1,19,16145586
MIR4461,5,134263720
OR5G1P,11,56542737
RP11-417N10.3,16,71867690
RNU6-397P,8,14345285
RN7SL330P,12,94754996
BRSK2,11,1411129
DBH-AS1,9,136519708
MTND4P18,10,36723638
RP11-381N20.2,4,124411423
RP11-160H22.3,1,173991647
AC079112.1,2,68250826
RP11-553A21.3,6,74403626
AF146191.4,4,190701490
ZDHHC20P1,6,29675902
RBMS2P1,12,94817520
APOB,2,21224301
CTD-2373J6.1,5,89684285
MIR378E,5,169455492
LL0XNC01-177E8.2,X,102513500
AC092580.4,2,7865932
RP11-490K7.4,1,31736092
RP5-1065P14.2,1,229228562
OR5G4P,11,56557682
OR51B3P,11,5336002
RP11-313I2.2,11,89433932
AC009505.4,2,106575540
RP11-381N20.1,4,124426434
TUBB8P2,6,143757353
OR1AB1P,19,16162739
RP11-782C8.7,1,143245164
RP11-3G20.1,8,122684013
AC017083.2,2,68352397
KRT18P41,5,169567668
RPL30P1,1,174059274
HCG4P11,6,29690758
RP11-498D10.3,16,71915456
RP11-782C8.8,1,143245823
RP11-778J16.3,12,94885322
RP5-1061H20.5,1,229359208
RNA5SP221,6,143770946
RP11-313I2.13,11,89456650
CDH12P4,5,70428820
DCAF16,4,17802278
RP11-3G20.2,8,122691366
RP11-445O3.2,5,4452043
SNORA40,10,36727544
RN7SL483P,12,94909252
RP11-498D10.5,16,71952815
CTD-2231E14.4,19,16176547
VCX3B,X,8432871
snoU13,2,88310621
TXNP7,6,74714236
MIR4461,5,134263729
RP5-1061H20.4,1,229394028
RP11-435B5.1,1,143342844
RP11-778J16.2,12,94914866
LINC01091,4,124571422
HLA-F-AS1,6,29694378
RP11-785H20.1,8,122896963
AL590710.1,9,136627017
OR5G5P,11,56569332
RP11-552J9.13,X,52751387
RP11-474G23.2,2,68406965
RP1-20N2.6,6,143806116
NAMPTL,10,36810649
CTB-36O1.3,5,134264083
MUS81,11,65624597
CTD-2231E14.5,19,16214571
SUCLG2P2,12,94942017
STK38,6,36461669
OR51B8P,11,5351822
RP11-398G24.2,8,122966879
MIR1302-11,15,102500051
VARS,HSCHR6_MHC_SSTO,31735249
AF250324.1,4,190739823
RP11-266K22.2,1,31805914
RP5-1061H20.3,1,229406674
RP11-313I2.5,11,89464185
RP11-435B5.2,1,143343559
CTC-297N7.9,17,10644584
CTB-27N1.1,5,169618583
AC018878.3,2,106795998
RP11-160H22.5,1,174084438
CTD-2231E14.8,19,16234471
RP11-463J17.1,4,190802670
RP11-552J9.14,X,52764990
RP4-803J11.2,1,229455150
MRPS36P3,8,123103719
GUSBP9,5,70435716
AC092580.2,2,7875776
RP11-439L8.2,1,31960436
RNU6-180P,1,229518875
RP11-94A24.1,8,123426571
AC021760.1,8,14372250
RNU2-63P,2,88315873
RNU6-40P,1,31970419
AC092106.2,2,106863825
RP11-554D15.1,6,74779167
RN7SKP276,1,229546247
MIR5700,12,94955565
RP11-776K3.1,8,14547891
Y_RNA,10,36914943
MLLT10P2,4,190894754
RP11-439L8.3,1,31971841
RP11-96B2.1,8,123497754
RP5-1068B5.1,1,229560767
RP11-552J9.15,X,52777574
AC093510.1,5,89705817
AF146191.8,4,190901057
RP11-322I2.1,10,37229037
CTD-2562J15.4,19,16297087
MIR383,8,14710947
RP11-439L8.4,1,31984036
AC108066.1,2,213775727
LSM3P2,12,94984597
UBTFL2,11,89485953
VDAC1P8,6,143811652
AP000479.1,11,56615954
HMGA1P5,10,77036134
AC104389.31,11,5375922
LINC01151,8,123682624
KAZALD1,10,102821598
CTD-2023J5.1,8,14736566
LINC00094,9,136890561
RP11-73M7.1,1,32037186
snoU13,1,174169267
GPBP1L1,1,46092976
MIR4776-2,2,213790981
RP11-445O3.1,5,4512375
C6orf48,HSCHR6_MHC_COX,31789757
CTD-2562J15.6,19,16394170
RP11-9G10.1,6,74991982
AL022400.1,1,174317403
MKNK2P1,10,37233039
HCG4,HSCHR6_MHC_QBL,29756937
snoU13,8,123683530
KRT19P2,12,95227923
RP11-313I2.11,11,89487150
RP11-105N14.1,2,214017694
LL0XNC01-105G4.3,X,102602390
RP4-809F4.1,1,174336243
RP11-399K21.11,10,77039484
OR5AK3P,11,56738325
ANKRD34B,5,79852574
RNU4-48P,2,128229810
RP11-436I24.1,6,143875462
RP11-279F6.2,15,69857063
AC104389.32,11,5383845
RP11-554D15.3,6,75239964
RP11-973F15.2,8,123712508
RPL23AP1,6,29694446
RP11-435B5.3,1,143347958
RP11-286H15.1,2,128383572
RP5-1068B5.3,1,229576031
RP11-782K4.1,8,15182805
RP11-313I2.6,11,89498052
BANF1P4,1,174725988
CTC-276P9.1,5,134374528
RP11-105N14.3,2,214020530
RP13-77O11.7,X,52799880
TUBB7P,4,190903678
LIPE,19,42905659
OR5AK1P,11,56785575
ARL6IP1P2,10,37283951
AC016405.1,8,123781513
RP11-484D4.3,1,85101841
RP4-613A2.1,1,229644248
CTB-114C7.4,5,169735705
RN7SL844P,19,16509477
RP3-468K18.6,6,144179199
MICE,6,29709508
RP11-313I2.10,11,89499608
MYCT1,6,153019030
RNU6-811P,10,37424165
RP11-279F6.3,15,69884468
RP11-105N14.2,2,214131719
OR5BQ1P,11,56796883
EI24P1,3,175785830
CTD-2013N17.1,19,16523495
NDUFAF4P4,1,174818805
RNU4-21P,1,229670811
OR51K1P,11,5451883
RP13-77O11.8,X,52810501
RP11-554D15.2,6,75320165
RP3-340H11.2,6,144357755
MIR4780,2,88382038
CTNND1,11,57520715
RP11-20F24.2,10,37529815
KBTBD13,15,65369154
RNY4P7,2,128556477
RP11-399K21.5,10,77048091
RNA5SP78,1,229685652
RP11-73M7.6,1,32109650
OR5AK4P,11,56804912
AC096732.2,4,124666078
AC079610.2,2,214141276
Y_RNA,2,128587321
LL0XNC01-250H12.3,X,102752451
AC092106.1,2,106869687
HMGN2P19,1,229706279
HLA-P,HSCHR6_MHC_QBL,29765389
RP11-44N11.2,8,123792210
MIR4438,2,214622791
TLCD1,17,27051366
RPL21P50,4,124666905
SPA17P1,10,77142151
CTB-114C7.3,5,169758433
OR5AO1P,11,56812566
RP11-554D15.4,6,75352100
AL049610.1,X,102873433
RNY4P15,2,88529088
AL031390.1,6,144438986
AC092580.1,2,7876569
RP1-102G20.2,1,174861554
TRIM64DP,11,89510149
AC091559.1,8,15379393
RP11-108F13.2,1,229824746
AC107218.3,2,215114764
CTD-2266L18.1,5,90326807
RP11-107E21.1,4,124783015
RP11-44N11.3,8,123792999
ATP8A2P1,10,37537046
TCEAL3-AS1,X,102881004
AC009677.1,15,70023079
AL590684.1,6,75429462
OR5BP1P,11,56823062
RP13-77O11.12,X,52830424
MRPL42P3,6,144457587
AC021818.1,15,70077754
RP11-44N11.1,8,123819985
RP11-560O20.1,6,75558793
HMGB1P26,1,229840981
UBAP1L,15,65385338
RP11-872D17.4,11,57093077
AC104169.1,1,85258751
RP11-235P11.1,8,15546423
RNF144B,6,18368779
RP11-19J5.1,15,70095655
RP5-935K16.1,2,128601127
RABGAP1L-IT1,1,174866095
MIR4423,1,85599477
RPL5P8,2,215145362
snoU13,11,57096333
RNU6-395P,2,128602810
Y_RNA,1,85729979
RP1-234P15.4,6,75994730
RP11-19J5.2,15,70113095
CTC-276P9.2,5,134456216
RP5-1055C14.6,X,102906663
AP000781.1,11,57127196
RP1-102G20.4,1,174891244
AC016405.2,8,123858930
TPT1P4,6,144521584
AC006011.4,2,128604310
RP11-813N20.2,4,69887374
RP11-728C8.1,4,124983617
RN7SL314P,10,37586326
RP11-131L23.1,1,85742398
AC012671.3,2,88594111
RP11-286M16.1,1,230011297
RNA5SP341,11,57217656
RP11-557C18.4,8,123989266
OR51A10P,11,5489716
CTC-276P9.3,5,134460070
AC017083.1,2,68457058
RP11-414H23.2,5,90519236
RN7SKP259,11,57219163
CTD-2318H23.1,5,4640844
LINC00593,15,70127573
SERPINA2P,14,94830053
RP11-557C18.3,8,124014800
ANKRD29,18,21178890
RP11-358N4.3,11,89519113
CTD-2013N17.4,19,16551757
RP11-73M7.9,1,32110295
RP11-474G23.3,2,68480002
RNA5SP174,4,190936293
snoU13,2,88606879
RP11-624G17.3,11,57243966
RN7SL146P,19,16650499
ZNF503-AS2,10,77160759
PPM1AP1,8,15663658
HCG9P5,6,29716066
RP11-349I1.2,14,94896970
RP1-91J24.1,6,144578170
RP11-414H23.3,5,90522292
AL138815.1,13,26442061
RNA5SP175,4,190938851
RNY4P5,8,124056957
AC114755.2,2,106905259
AC017083.3,2,68500236
ELFN1,7,1727755
MIR4254,1,32224261
RP11-552D4.1,1,230138477
AL590113.1,1,85750293
RP11-813N20.3,4,69893549
HMGB1P39,6,76028817
CTD-3222D19.7,19,16653434
ADAM3A,8,39308564
DUX4L9,4,190942562
HMGB1P19,8,124135346
AC015969.3,2,68588346
Y_RNA,6,29718148
ADIPOR1P2,14,95100042
NCAPG,4,17812525
RP11-563K23.1,7,143060992
Y_RNA,11,57278032
Y_RNA,1,85900858
RP11-358N4.5,11,89522580
WASH3P,15,102501356
RP11-84A19.3,1,32254731
IFITM4P,6,29718506
RARRES2P4,4,190959071
CTD-2270F17.1,5,169816497
CTD-2325B11.1,4,125070532
AL138815.2,13,26452422
RP11-131L23.2,1,85932978
RP1-102G20.5,1,174904084
RPS4XP13,11,57343765
AC093673.5,7,143076785
CTD-3222D19.11,19,16662584
RP11-358N4.6,11,89553250
RP11-84A19.2,1,32307620
MIR629,15,70371711
OR9R1P,12,55552631
CTB-147C13.1,5,169910810
RP1-91J24.3,6,144632835
RP11-290M5.4,1,86044183
CTC-349C3.2,5,134571924
